FIPS,births_2017,deaths_2017,population_2017,population_2010,N
00000,3946000,2744040,325719178,308745538,
01000,58389,52390,4874747,4779736,
01001,664,510,55504,54571,
01003,2325,2090,212628,182265,
01005,270,286,25270,27457,
01007,270,233,22668,22915,
01009,685,653,58013,57322,
01011,138,118,10309,10914,
01013,228,253,19825,20947,
01015,1342,1427,114728,118572,
01017,384,468,33713,34215,
01019,244,338,25857,25989,
01021,523,476,44067,43643,
01023,143,174,12945,13859,
01025,270,321,24083,25833,
01027,134,184,13367,13932,
01029,154,190,14900,14972,
01031,643,517,51874,49948,
01033,618,684,54500,54428,
01035,148,166,12469,13228,
01037,86,114,10754,11539,
01039,443,511,37092,37765,
01041,163,183,13871,13906,
01043,991,1014,82755,80406,
01045,638,543,49226,50251,
01047,492,552,39215,43820,
01049,839,770,71617,71109,
01051,889,803,81677,79303,
01053,429,499,37447,38319,
01055,1192,1444,102755,104430,
01057,165,230,16468,17241,
01059,421,365,31495,31704,
01061,279,359,26421,26790,
01063,95,95,8330,9045,
01065,187,195,14812,15760,
01067,175,202,17147,17302,
01069,1286,1116,104346,101547,
01071,554,686,51909,53227,
01073,8532,7192,659197,658466,
01075,155,189,13946,14564,
01077,925,1128,92538,92709,
01079,366,403,33049,34339,
01081,1947,1048,161604,140247,
01083,1020,772,94402,82782,
01085,120,147,10076,11299,
01087,189,262,18755,21452,
01089,4174,3193,361046,334811,
01091,237,271,19375,21027,
01093,300,388,29833,30776,
01095,1335,1146,95548,93019,
01097,5475,4481,413955,412992,
01099,212,247,21327,23068,
01101,3038,2158,226646,229363,
01103,1398,1280,118818,119490,
01105,126,129,9339,10591,
01107,226,251,20176,19746,
01109,378,330,33267,32899,
01111,232,280,22670,22913,
01113,821,642,57045,52947,
01115,1038,970,88199,83593,
01117,2363,1534,213605,195085,
01119,139,157,12687,13763,
01121,838,1044,80065,82291,
01123,452,561,40681,41616,
01125,2537,1799,207811,194656,
01127,777,974,64058,67023,
01129,170,201,16531,17581,
01131,131,123,10719,11670,
01133,231,321,23722,24484,
02000,11163,4543,739795,710231,
02013,12,6,3370,3141,
02016,34,8,5763,5561,
02020,4479,1773,294356,291826,
02050,424,146,18076,17013,
02060,10,8,867,997,
02068,29,7,2074,1826,
02070,104,38,4932,4847,
02090,1700,494,99703,97581,
02100,17,6,2526,2508,
02105,16,12,2145,2150,
02110,357,175,32094,31275,
02122,732,486,58617,55400,
02130,148,82,13856,13477,
02150,208,43,13448,13592,
02158,233,90,8202,7459,
02164,36,12,1620,1631,
02170,1568,589,106532,88995,
02180,209,117,9921,9492,
02185,154,60,9782,9430,
02188,166,84,7684,7523,
02195,29,21,3281,3815,
02198,77,56,6443,5559,
02220,83,41,8689,8881,
02230,13,14,1157,968,
02240,101,33,6888,7029,
02261,131,40,9278,9636,
02275,20,24,2521,2369,
02282,8,2,605,662,
02290,65,76,5365,5588,
04000,85634,57553,7016270,6392017,
04001,1073,684,71606,71518,
04003,1498,1292,124756,131346,
04005,1615,888,140776,134421,
04007,589,831,53501,53597,
04009,565,276,37466,37220,
04011,150,35,9455,8437,
04012,212,268,20601,20489,
04013,55050,31286,4307033,3817117,
04015,1798,3169,207200,200186,
04017,1523,1029,108956,107449,
04019,11490,9881,1022769,980263,
04021,4542,3090,430237,375770,
04023,628,324,46212,47420,
04025,1887,2895,228168,211033,
04027,3014,1605,207534,195751,
05000,38236,30395,3004279,2915918,
05001,233,223,17967,19019,
05003,214,250,20283,21853,
05005,372,678,41355,41513,
05007,3692,1701,266300,221339,
05009,450,457,37381,36903,
05011,135,134,10864,11508,
05013,45,48,5247,5368,
05015,324,296,27944,27446,
05017,124,165,10636,11800,
05019,225,255,22293,22995,
05021,166,200,14920,16083,
05023,227,382,25048,25970,
05025,68,80,8202,8689,
05027,282,289,23627,24552,
05029,235,208,20916,21273,
05031,1569,982,107115,96443,
05033,771,624,62996,61948,
05035,828,522,48750,50902,
05037,217,205,16863,17870,
05039,70,76,7393,8116,
05041,158,174,11764,13008,
05043,241,198,18547,18509,
05045,1530,867,123654,113237,
05047,186,181,17890,18125,
05049,122,199,12055,12245,
05051,1104,1277,98658,96024,
05053,181,166,18165,17853,
05055,594,479,45053,42090,
05057,297,231,21861,22609,
05059,325,359,33574,32923,
05061,204,164,13478,13789,
05063,494,421,37504,36647,
05065,104,187,13686,13696,
05067,203,207,17135,17997,
05069,831,822,69115,77435,
05071,362,246,26552,25540,
05073,71,94,6862,7645,
05075,177,262,16525,17415,
05077,94,108,9176,10424,
05079,156,154,13646,14134,
05081,122,173,12359,13171,
05083,270,292,21722,22353,
05085,975,663,72898,68356,
05087,200,135,16339,15717,
05089,164,265,16428,16653,
05091,608,449,43984,43462,
05093,626,501,42159,46480,
05095,94,111,7085,8149,
05097,85,144,8919,9487,
05099,93,103,8327,8997,
05101,82,101,7828,8330,
05103,266,328,23868,26120,
05105,119,120,10348,10445,
05107,290,265,18572,21757,
05109,119,126,10726,11291,
05111,337,332,24154,24583,
05113,214,277,20118,20662,
05115,811,560,63835,61754,
05117,76,113,8248,8715,
05119,5417,3688,393956,382748,
05121,193,255,17557,17969,
05123,334,303,25930,28258,
05125,1353,1074,119323,107118,
05127,123,111,10445,11233,
05129,79,110,7938,8195,
05131,1711,1225,128107,125744,
05133,233,145,17115,17058,
05135,251,230,17393,17264,
05137,120,159,12537,12394,
05139,576,546,39449,41639,
05141,146,239,16506,17295,
05143,3240,1531,231996,203065,
05145,906,813,79016,77076,
05147,57,99,6571,7260,
05149,265,238,21523,22185,
06000,487916,273977,39536653,37253956,
06001,19483,10786,1663190,1510271,
06003,4,7,1120,1175,
06005,309,408,38626,38091,
06007,2473,2373,229294,220000,
06009,387,515,45670,45578,
06011,301,115,21805,21419,
06013,12626,8345,1147439,1049025,
06015,306,264,27470,28610,
06017,1587,1635,188987,181058,
06019,15228,7120,989255,930450,
06021,371,223,28094,28122,
06023,1446,1332,136754,134623,
06025,3106,1030,182830,174528,
06027,194,195,18026,18546,
06029,13643,6050,893119,839631,
06031,2220,865,150101,152982,
06033,702,798,64246,64665,
06035,312,226,31163,34895,
06037,122923,67251,10163507,9818605,
06039,2181,1004,156890,150865,
06041,2202,1944,260955,252409,
06043,158,156,17569,18251,
06045,1035,861,88018,87841,
06047,4073,1703,272673,255793,
06049,80,106,8859,9686,
06051,146,45,14168,14202,
06053,6316,2600,437907,415057,
06055,1446,1314,140973,136484,
06057,858,922,99814,98764,
06059,37171,20686,3190400,3010232,
06061,3770,3263,386166,348432,
06063,164,228,18742,20007,
