regionname,state,median_price,FIPS
Los Angeles,CA,627777,6037
Cook,IL,264000,17031
Riverside,CA,384998,6065
Lee,FL,269900,12071
Navarro,TX,165000,48349
Stephenson,IL,89700,17177
Carter,OK,164900,40019
Noble,IN,129900,18113
Osage,OK,169900,40113
Santa Cruz,AZ,247000,4023
Stokes,NC,179900,37169
Lafayette,MS,300000,28071
Scott,KY,219900,21209
Washington,LA,132900,22117
Tulsa,OK,204000,40143
Marshall,IN,169900,18099
Douglas,NV,499900,32005
Cherokee,OK,137500,40021
Hoke,NC,179990,37093
Hopkins,KY,132900,21107
Fremont,CO,219573.5,8043
Chesterfield,SC,139700,45025
Culpeper,VA,319990,51047
Hillsdale,MI,129000,26059
Mifflin,PA,109900,42087
Kent,MI,219900,26081
Richmond,NC,114450,37153
Kay,OK,99900,40071
Mississippi,AR,89900,5093
Gadsden,FL,150000,12039
Henderson,KY,162200,21101
Warren,IA,256600,19181
Goodhue,MN,229900,27049
Iron,UT,219950,49021
Lawrence,IN,119000,18093
Campbell,WY,210000,56005
Polk,FL,199900,12105
Buffalo,NE,241450,31019
Fayette,WV,99000,54019
Lincoln,OR,330000,41041
Medina,TX,285000,48325
Perry,PA,169900,42099
Auglaize,OH,130000,39011
Saint John the Baptist,LA,149900,22095
Huntingdon,PA,149900,42061
Barron,WI,169900,55005
Logan,OH,138900,39091
District of Columbia,DC,550000,11001
Pittsburg,OK,127200,40121
Baldwin,GA,176450,13009
Bingham,ID,159900,16011
Calaveras,CA,342500,6009
Colquitt,GA,144950,13071
Vance,NC,147450,37181
Polk,TX,197500,48373
Branch,MI,139000,26023
Jefferson,PA,109450,42065
Phelps,MO,124900,29161
Denver,CO,475000,8031
Tazewell,VA,128000,51185
Itasca,MN,179900,27061
Bedford,TN,219900,47003
Stephens,OK,112000,40137
McDowell,NC,259450,37111
Union,PA,224000,42119
Atascosa,TX,213900,48013
Siskiyou,CA,235000,6093
Brown,OH,148900,39015
Lincoln,SD,262900,46083
Fort Bend,TX,329900,48157
Thomas,GA,189900,13275
Monroe,WI,145000,55081
Monroe,TN,173500,47123
Windham,VT,235000,50025
Ohio,WV,139900,54069
Beltrami,MN,193200,27007
Shelby,IN,131000,18145
Callaway,MO,144500,29027
Polk,WI,189900,55095
Douglas,WI,159000,55031
Ocean,NJ,294999,34029
Cerro Gordo,IA,136950,19033
Camden,MO,199900,29029
Hancock,MS,174900,28045
Dunn,WI,189000,55033
Sweetwater,WY,244000,56037
Crawford,OH,69900,39033
Sullivan,NH,211500,33019
Chilton,AL,154000,1021
Highland,OH,97000,39071
Stevens,WA,199975,53065
Arapahoe,CO,395742.5,8005
Charlottesville City,VA,398500,51540
Miller,AR,149900,5091
McKean,PA,92000,42083
Nelson,KY,186500,21179
Madison,OH,199900,39097
Susquehanna,PA,169900,42115
Waller,TX,330000,48473
Sanilac,MI,124900,26151
Danville City,VA,89900,51590
Habersham,GA,228000,13137
Delaware,PA,195000,42045
Wilson,TX,323450,48493
Orleans,NY,99900,36073
Mecosta,MI,139900,26107
Butler,MO,122000,29023
Burnet,TX,375000,48053
Muscatine,IA,150000,19139
Fulton,OH,129900,39051
Wayne,WV,107250,54099
Gratiot,MI,84900,26057
Bryan,OK,165000,40013
San Bernardino,CA,319794,6071
Bristol,MA,319900,25005
Sequoyah,OK,136500,40135
Jackson,IN,117950,18071
Coffee,GA,125000,13069
Preble,OH,112000,39135
